Axis X,Axis Y,Axis Z,Temperature,Humidite
15,2,-3,20.064,43.042
10,2,-1,20.064,43.042
10,1,0,20.064,43.042
9,1,0,20.064,43.042
12,3,6,20.064,43.042
8,2,0,20.064,43.042
12,2,4,20.064,43.042
11,2,-255,20.064,43.042
12,1,2,20.064,43.042
16,-3,7,20.064,43.042
13,-3,-1,20.064,43.042
14,2,6,20.064,43.042
8,-1,6,20.064,43.042
14,-1,1,20.064,43.042
8,3,1,20.064,43.042
10,8,2,20.064,43.042
15,0,4,20.064,43.042
12,2,1,20.064,43.042
10,-3,-4,20.064,43.042
14,-1,2,20.064,43.042
10,2,5,20.064,43.042
14,-1,1,20.064,43.042
13,2,0,20.064,43.042
15,0,-253,20.064,43.042
11,2,1,20.064,43.042
11,0,1,20.064,43.042
7,253,2,20.064,43.042
15,1,3,20.064,43.042
12,1,-6,20.064,43.042
12,-4,1,20.064,43.042
6,1,-2,20.064,43.042
11,0,3,20.064,43.042
9,1,2,20.064,43.042
12,2,-2,20.064,43.042
13,-2,-1,20.064,43.042
9,2,1,20.064,43.042
11,-254,4,20.064,43.042
12,-1,-1,20.064,43.042
11,3,4,20.064,43.042
9,1,0,20.064,43.042
15,1,2,20.064,47.436
14,2,-1,21.437,57.202
11,1,3,22.123,63.061
12,0,2,22.810,57.202
12,3,5,23.496,90.405
9,0,0,23.496,45.971
11,1,5,23.496,74.292
13,7,-1,23.496,76.245
13,-2,2,24.182,77.710
13,6,0,24.182,78.686
12,5,8,24.182,79.663
13,2,2,24.182,80.151
13,3,1,24.182,80.639
13,5,-3,24.182,81.616
15,3,0,24.182,81.616
14,-1,-1,24.182,82.104
16,5,-3,24.182,82.593
12,1,-4,24.182,82.593
10,3,2,24.182,82.593
10,2,8,24.182,82.593
11,2,3,24.869,82.104
12,-1,3,24.869,82.104
9,1,2,24.869,82.104
14,3,4,24.869,82.104
6,-2,3,24.869,81.616
10,5,2,24.869,81.616
14,6,0,24.869,81.616
13,2,2,24.869,81.128
11,1,2,24.869,81.128
12,-4,3,24.869,81.128
11,6,-2,24.869,80.639
12,1,1,24.869,80.639
10,0,1,24.869,80.639
10,0,1,24.869,80.639
11,0,-2,24.869,80.639
13,2,-5,24.869,80.639
8,3,-2,24.869,80.151
11,0,-255,24.869,78.686
17,0,1,24.869,73.315
12,2,-2,24.182,68.432
13,3,0,24.182,64.526
10,4,10,24.182,62.085
9,0,0,24.182,60.132
10,3,2,24.182,57.690
10,-1,2,24.182,55.249
9,-1,5,23.496,53.296
11,4,-1,23.496,50.854
15,7,-256,23.496,49.389
12,5,3,23.496,47.436
15,0,3,23.496,46.460
13,250,2,23.496,45.971
13,0,1,23.496,44.995
13,1,0,23.496,44.018
12,1,1,23.496,43.530
11,-1,4,23.496,42.553
13,-1,0,23.496,42.065
11,0,1,22.810,41.577
9,-1,5,22.810,41.089
14,5,1,22.810,40.600
14,-2,-1,22.810,40.600
11,2,1,22.810,40.112
12,2,1,22.810,40.112
11,2,-1,22.810,39.624
11,-2,-1,20.064,43.042
11,1,0,20.064,43.042
8,1,4,20.064,43.042
9,4,2,20.064,43.042
15,1,2,20.064,43.042
15,-2,6,20.064,43.042
12,3,-2,20.064,43.042
12,1,-1,20.064,43.042
11,0,1,20.064,43.042
11,5,2,20.064,43.042
15,0,-2,20.064,43.042
16,1,-3,20.064,43.042
12,1,0,20.064,43.042
11,2,3,20.064,43.042
16,5,-6,20.064,43.042
10,2,3,20.064,43.042
11,5,-254,20.064,43.042
10,1,1,20.064,43.042
10,-2,0,20.064,43.042
9,6,0,20.064,43.042
10,-1,-2,20.064,43.042
10,4,-1,20.064,43.042
8,4,-1,20.064,43.042
11,-3,-5,20.064,43.042
13,3,-1,20.064,43.042
11,-1,5,20.064,43.042
9,5,2,20.064,43.042
8,2,2,20.064,43.042
11,-1,1,20.064,43.042
15,6,-2,20.064,43.042
11,-2,1,20.064,43.042
13,2,0,20.064,43.042
11,1,0,20.064,43.042
11,5,2,20.064,43.042
13,1,-2,20.064,43.042
12,-1,3,20.064,43.042
7,6,-2,20.064,43.042
12,-3,-4,20.064,43.042
10,-2,1,20.064,43.042
10,0,0,20.064,43.042
11,2,-1,20.064,43.042
13,0,2,20.064,43.042
10,1,4,20.064,43.042
11,4,1,20.064,43.042
12,4,3,20.064,43.042
16,5,2,20.064,43.042
15,4,254,20.064,43.042
10,1,0,20.064,43.042
10,-2,5,20.064,43.042
14,-1,0,20.064,43.042
12,0,-1,20.064,43.042
13,2,1,20.064,43.042
12,3,0,20.064,43.042
14,1,-3,20.064,43.042
11,5,-1,20.064,43.042
9,2,1,20.064,43.042
13,-3,2,20.064,43.530
10,-4,3,20.064,50.854
9,2,4,20.750,57.690
13,4,255,20.750,62.573
12,-1,-5,21.437,65.503
10,3,-3,21.437,66.479
9,1,-4,21.437,63.061
288,79,22,20.750,60.620
27,82,97,20.750,58.667
-81,-26,-262,20.750,57.202
136,126,16,20.750,54.760
34,50,3,20.750,53.296
7,2,0,20.750,51.831
28,0,2,20.750,50.366
53,-52,2,20.750,49.389
14,5,1,20.750,48.413
18,-5,1,20.750,47.436
7,2,-2,20.750,46.460
-165,136,-3,20.750,45.971
-796,93,-31,20.750,45.483
-290,-29,-35,20.750,44.995
-242,71,-13,20.064,44.995
137,-62,-99,20.750,44.507
-203,56,-20,20.064,44.507
-117,98,193,20.064,44.507
-156,6,141,20.064,44.018
19,17,-1,20.064,44.018
14,82,-2,20.064,44.018
11,-51,-11,20.064,43.530
7,112,2,20.064,43.530
15,28,-4,20.064,43.530
16,110,-47,20.064,43.530
24,-4,-138,20.064,43.530
42,3,-350,20.064,43.042
49,2,-387,20.064,43.042
13,-2,0,20.064,43.042
11,3,-6,20.064,43.042
231,-20,71,20.064,43.042
